2022-02-11 21:03:00,559 || INFO || Thread 1: Client successfully connected to Server at 127.0.0.1:12345 || __main__
2022-02-11 21:03:00,559 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-11 21:03:20,569 || ERROR || Thread 1: Did not receive a reply from server in 20 seconds. Initating Heartbeat || __main__
2022-02-19 10:31:37,586 || WARNING || Thread 1: Client failed to find IP Address 125.0.2.6 || __main__
2022-02-19 11:04:37,150 || WARNING || Thread 1: 127.0.0.1 was located but connection was actively refused on port 12345 || __main__
2022-02-19 11:05:25,536 || INFO || Thread 1: Client successfully connected to Server at 127.0.0.1:12345 || __main__
2022-02-19 11:05:25,537 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-19 11:05:45,543 || ERROR || Thread 1: Did not receive a reply from server in 20 seconds. Initating Heartbeat || __main__
2022-02-19 18:23:49,134 || WARNING || Thread 1: Client failed to find IP Address 192.168.10.10 || __main__
2022-02-19 18:25:27,488 || WARNING || Thread 1: 192.168.0.50 was located but connection was actively refused on port 12345 || __main__
2022-02-19 18:25:46,321 || WARNING || Thread 1: 192.168.0.50 was located but connection was actively refused on port 12345 || __main__
2022-02-19 18:27:46,452 || WARNING || Thread 1: Client failed to find IP Address 192.168.50.50 || __main__
2022-02-19 18:44:59,153 || INFO || Thread 1: Client successfully connected to Server at 127.0.0.1:12345 || __main__
2022-02-19 18:44:59,154 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-19 18:45:19,154 || ERROR || Thread 1: Did not receive a reply from server in 20 seconds. Initating Heartbeat || __main__
2022-02-19 18:45:38,226 || INFO || Thread 1: Client successfully connected to Server at 127.0.0.1:12345 || __main__
2022-02-19 18:45:38,226 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-19 18:45:38,227 || INFO || Thread 1: Successful Tx/Rx. Client sent: 'b'CLIENT_DATA_MESSAGE'' Server replied: 'SERVER_DATA_REPLY' || __main__
2022-02-19 18:45:48,241 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-19 18:45:48,241 || INFO || Thread 1: Successful Tx/Rx. Client sent: 'b'CLIENT_DATA_MESSAGE'' Server replied: 'SERVER_DATA_REPLY' || __main__
2022-02-19 18:45:58,243 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-19 18:45:58,243 || INFO || Thread 1: Successful Tx/Rx. Client sent: 'b'CLIENT_DATA_MESSAGE'' Server replied: 'SERVER_DATA_REPLY' || __main__
2022-02-19 18:46:08,249 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
2022-02-19 18:46:08,250 || INFO || Thread 1: Successful Tx/Rx. Client sent: 'b'CLIENT_DATA_MESSAGE'' Server replied: 'SERVER_DATA_REPLY' || __main__
2022-02-19 18:46:18,264 || INFO || Thread 1: Client sent data: b'CLIENT_DATA_MESSAGE' || __main__
