2022-02-08 23:23:35,257 || WARNING || Client failed to connect to TCP Server 213.123.123.123:123 || __main__
2022-02-08 23:39:58,404 || WARNING || 127.0.0.1 was located but connection was actively refused on port 12345 || __main__
2022-02-08 23:40:20,203 || WARNING || 127.0.0.1 was located but connection was actively refused on port 4143 || __main__
2022-02-09 00:03:44,882 || WARNING || 127.0.0.1 was located but connection was actively refused on port 12345 || __main__
2022-02-09 00:05:49,482 || INFO || Client successfully connected to Server at 127.0.0.1:12345 || __main__
2022-02-09 00:05:59,489 || ERROR || Did not receive a reply from server in 10 seconds || __main__
2022-02-09 00:06:09,499 || ERROR || Did not receive a reply from server in 10 seconds || __main__
2022-02-09 00:38:20,723 || WARNING || 127.0.0.1 was located but connection was actively refused on port 12345 || __main__
2022-02-09 00:38:23,678 || INFO || Queue is empty. No timeouts met for Tx/Rx || __main__
2022-02-09 00:38:28,687 || INFO || Queue is empty. No timeouts met for Tx/Rx || __main__
2022-02-09 00:38:43,438 || WARNING || 127.0.0.1 was located but connection was actively refused on port 12345 || __main__
2022-02-09 00:38:46,404 || INFO || Queue is empty. No timeouts met for Tx/Rx || __main__
2022-02-09 00:38:51,409 || INFO || Queue is empty. No timeouts met for Tx/Rx || __main__
2022-02-09 00:38:56,415 || INFO || Queue is empty. No timeouts met for Tx/Rx || __main__
2022-02-09 00:39:46,684 || INFO || Client successfully connected to Server at 127.0.0.1:12345 || __main__
2022-02-09 00:39:46,684 || INFO || Client sent data: b'This is Client Data' || __main__
2022-02-09 00:39:51,693 || INFO || Queue is empty. No timeouts met for Tx/Rx || __main__
2022-02-09 00:39:56,699 || ERROR || Did not receive a reply from server in 10 seconds || __main__
2022-02-09 00:39:56,699 || INFO || Queue is empty. No timeouts met for Tx/Rx || __main__
2022-02-09 00:39:56,700 || INFO || Client sent data: b'This is Client Data' || __main__
2022-02-09 00:40:01,703 || INFO || Queue is empty. No timeouts met for Tx/Rx || __main__
2022-02-09 00:40:06,703 || ERROR || Did not receive a reply from server in 10 seconds || __main__
2022-02-09 00:40:06,703 || INFO || Client sent data: b'This is Client Data' || __main__
2022-02-09 00:40:11,705 || INFO || Queue is empty. No timeouts met for Tx/Rx || __main__
2022-02-09 00:40:36,355 || INFO || Client successfully connected to Server at 127.0.0.1:12345 || __main__
2022-02-09 00:40:36,355 || INFO || Client sent data: b'This is Client Data' || __main__
2022-02-09 00:40:36,355 || INFO || Successful Tx/Rx of data message. Client sent b'This is Client Data'.                 Server replied Server Reply Data || __main__
2022-02-09 00:40:41,357 || INFO || Queue is empty. No timeouts met for Tx/Rx || __main__
2022-02-09 00:40:41,357 || INFO || Client sent data: b'This is Client Data' || __main__
2022-02-09 00:40:41,358 || INFO || Successful Tx/Rx of data message. Client sent b'This is Client Data'.                 Server replied Server Reply Data || __main__
2022-02-09 00:40:46,371 || INFO || Queue is empty. No timeouts met for Tx/Rx || __main__
2022-02-09 00:40:46,371 || INFO || Client sent data: b'This is Client Data' || __main__
2022-02-09 00:40:46,372 || INFO || Successful Tx/Rx of data message. Client sent b'This is Client Data'.                 Server replied Server Reply Data || __main__
2022-02-09 20:19:02,550 || INFO || [*] Client successfully connected to Server at 127.0.0.1:12345 || __main__
2022-02-09 20:19:02,551 || INFO || [*] Client sent data: b'This is Client Data' || __main__
