2022-02-11 21:02:48,354 || INFO || Thread 1: TCP Server is Listening on 127.0.0.1:12345 || __main__
2022-02-11 21:03:00,559 || INFO || Thread 1: Accepted connection from 127.0.0.1:57860 || __main__
2022-02-11 21:03:00,559 || INFO || Thread 1: Received client data: 'CLIENT_DATA_MESSAGE'. Sent Server Data: 'b'SERVER_DATA_REPLY'' || __main__
2022-02-11 21:03:20,569 || ERROR || Thread 1: No client message detected in 20 seconds. Initiating Heartbeat Server || __main__
2022-02-11 21:03:20,569 || INFO || Thread 2: TCP Server is Listening for Heartbeat on 127.0.0.1:12345 || __main__
2022-02-11 21:03:25,585 || INFO || Thread 2: Accepted connection from 127.0.0.1:57861 || __main__
2022-02-11 21:03:35,591 || WARNING || Thread 2: No heartbeat recieved in 10 seconds. Heartbeats missed: 1 || __main__
2022-02-11 21:03:45,592 || WARNING || Thread 2: No heartbeat recieved in 10 seconds. Heartbeats missed: 2 || __main__
2022-02-11 21:03:55,592 || WARNING || Thread 2: No heartbeat recieved in 10 seconds. Heartbeats missed: 3 || __main__
2022-02-11 21:03:55,592 || ERROR || Thread 2: Missed 3 heartbeats from client. Terminating connection || __main__
2022-02-19 10:31:06,842 || INFO || Thread 1: TCP Server is Listening on 127.0.0.1:12345 || __main__
2022-02-19 10:57:54,854 || INFO || Thread 1: TCP Server is Listening on 127.0.0.1:12345 || __main__
2022-02-19 11:04:45,645 || INFO || Thread 1: TCP Server is Listening on 127.0.0.1:12345 || __main__
2022-02-19 11:05:14,740 || INFO || Thread 1: TCP Server is Listening on 127.0.0.1:12345 || __main__
2022-02-19 11:05:25,512 || INFO || Thread 1: Accepted connection from 127.0.0.1:59614 || __main__
2022-02-19 11:05:25,537 || INFO || Thread 1: Received client data: 'CLIENT_DATA_MESSAGE'. Sent Server Data: 'b'SERVER_DATA_REPLY'' || __main__
2022-02-19 11:05:45,543 || ERROR || Thread 1: No client message detected in 20 seconds. Initiating Heartbeat Server || __main__
2022-02-19 11:05:45,544 || INFO || Thread 2: TCP Server is Listening for Heartbeat on 127.0.0.1:12345 || __main__
2022-02-19 11:05:50,554 || INFO || Thread 2: Accepted connection from 127.0.0.1:59618 || __main__
2022-02-19 11:06:00,560 || WARNING || Thread 2: No heartbeat recieved in 10 seconds. Heartbeats missed: 1 || __main__
2022-02-19 11:06:10,569 || WARNING || Thread 2: No heartbeat recieved in 10 seconds. Heartbeats missed: 2 || __main__
2022-02-19 11:06:20,577 || WARNING || Thread 2: No heartbeat recieved in 10 seconds. Heartbeats missed: 3 || __main__
2022-02-19 11:06:20,577 || ERROR || Thread 2: Missed 3 heartbeats from client. Terminating connection || __main__
2022-02-19 18:14:24,733 || WARNING || Thread 1: Server IP of 192.168.10.10 is invalid when establishing socket. Check interface IP Address || __main__
2022-02-19 18:19:47,306 || INFO || Thread 1: TCP Server is Listening on 192.168.0.50:12345 || __main__
2022-02-19 18:43:45,974 || INFO || Thread 1: TCP Server is Listening on 127.0.0.1:12345 || __main__
2022-02-19 18:44:59,153 || INFO || Thread 1: Accepted connection from 127.0.0.1:64624 || __main__
2022-02-19 18:44:59,154 || INFO || Thread 1: Received client data: 'CLIENT_DATA_MESSAGE'. Sent Server Data: 'b'SERVER_DATA_REPLY'' || __main__
2022-02-19 18:45:19,154 || ERROR || Thread 1: No client message detected in 20 seconds. Initiating Heartbeat Server || __main__
2022-02-19 18:45:19,155 || INFO || Thread 2: TCP Server is Listening for Heartbeat on 127.0.0.1:12345 || __main__
2022-02-19 18:45:30,828 || INFO || Thread 1: TCP Server is Listening on 127.0.0.1:12345 || __main__
2022-02-19 18:45:38,226 || INFO || Thread 1: Accepted connection from 127.0.0.1:64625 || __main__
2022-02-19 18:45:38,226 || INFO || Thread 1: Received client data: 'CLIENT_DATA_MESSAGE'. Sent Server Data: 'b'SERVER_DATA_REPLY'' || __main__
2022-02-19 18:45:48,241 || INFO || Thread 1: Received client data: 'CLIENT_DATA_MESSAGE'. Sent Server Data: 'b'SERVER_DATA_REPLY'' || __main__
2022-02-19 18:45:58,243 || INFO || Thread 1: Received client data: 'CLIENT_DATA_MESSAGE'. Sent Server Data: 'b'SERVER_DATA_REPLY'' || __main__
2022-02-19 18:46:08,249 || INFO || Thread 1: Received client data: 'CLIENT_DATA_MESSAGE'. Sent Server Data: 'b'SERVER_DATA_REPLY'' || __main__
2022-02-19 18:46:18,264 || INFO || Thread 1: Received client data: 'CLIENT_DATA_MESSAGE'. Sent Server Data: 'b'SERVER_DATA_REPLY'' || __main__
2022-02-19 18:46:28,278 || INFO || Thread 1: Received client data: 'CLIENT_DATA_MESSAGE'. Sent Server Data: 'b'SERVER_DATA_REPLY'' || __main__
2022-02-19 18:46:38,289 || INFO || Thread 1: Received client data: 'CLIENT_DATA_MESSAGE'. Sent Server Data: 'b'SERVER_DATA_REPLY'' || __main__
2022-02-19 18:46:48,302 || INFO || Thread 1: Received client data: 'CLIENT_DATA_MESSAGE'. Sent Server Data: 'b'SERVER_DATA_REPLY'' || __main__
2022-02-19 18:48:33,615 || INFO || Thread 1: TCP Server is Listening on 127.0.0.1:12345 || __main__
2022-02-19 18:48:42,167 || INFO || Thread 1: Accepted connection from 127.0.0.1:64630 || __main__
2022-02-19 18:48:42,168 || INFO || Thread 1: Received client data: 'CLIENT_DATA_MESSAGE'. Sent Server Data: 'b'SERVER_DATA_REPLY'' || __main__
2022-02-19 18:48:52,181 || INFO || Thread 1: Received client data: 'CLIENT_DATA_MESSAGE'. Sent Server Data: 'b'SERVER_DATA_REPLY'' || __main__
2022-02-19 18:49:02,196 || INFO || Thread 1: Received client data: 'CLIENT_DATA_MESSAGE'. Sent Server Data: 'b'SERVER_DATA_REPLY'' || __main__
2022-02-19 18:49:12,205 || INFO || Thread 1: Received client data: 'CLIENT_DATA_MESSAGE'. Sent Server Data: 'b'SERVER_DATA_REPLY'' || __main__
2022-02-19 18:49:22,213 || INFO || Thread 1: Received client data: 'CLIENT_DATA_MESSAGE'. Sent Server Data: 'b'SERVER_DATA_REPLY'' || __main__
2022-02-19 18:49:32,220 || INFO || Thread 1: Received client data: 'CLIENT_DATA_MESSAGE'. Sent Server Data: 'b'SERVER_DATA_REPLY'' || __main__
2022-02-19 18:49:42,235 || INFO || Thread 1: Received client data: 'CLIENT_DATA_MESSAGE'. Sent Server Data: 'b'SERVER_DATA_REPLY'' || __main__
2022-02-19 18:49:52,244 || INFO || Thread 1: Received client data: 'CLIENT_DATA_MESSAGE'. Sent Server Data: 'b'SERVER_DATA_REPLY'' || __main__
2022-02-19 18:50:02,248 || INFO || Thread 1: Received client data: 'CLIENT_DATA_MESSAGE'. Sent Server Data: 'b'SERVER_DATA_REPLY'' || __main__
2022-02-19 18:50:12,264 || INFO || Thread 1: Received client data: 'CLIENT_DATA_MESSAGE'. Sent Server Data: 'b'SERVER_DATA_REPLY'' || __main__
2022-02-19 18:50:22,266 || INFO || Thread 1: Received client data: 'CLIENT_DATA_MESSAGE'. Sent Server Data: 'b'SERVER_DATA_REPLY'' || __main__
2022-02-19 19:04:39,157 || INFO || Thread 1: TCP Server is Listening on 127.0.0.1:12345 || __main__
2022-02-19 19:04:47,866 || INFO || Thread 1: Accepted connection from 127.0.0.1:64653 || __main__
2022-02-19 19:04:47,888 || INFO || Thread 1: Received client data: 'CLIENT_DATA_MESSAGE'. Sent Server Data: 'b'SERVER_DATA_REPLY'' || __main__
2022-02-19 19:05:07,890 || ERROR || Thread 1: No client message detected in 20 seconds. Initiating Heartbeat Server || __main__
2022-02-19 19:05:07,891 || INFO || Thread 2: TCP Server is Listening for Heartbeat on 127.0.0.1:12345 || __main__
2022-02-19 19:05:12,898 || INFO || Thread 2: Accepted connection from 127.0.0.1:64655 || __main__
2022-02-19 19:05:22,904 || WARNING || Thread 2: No heartbeat recieved in 10 seconds. Heartbeats missed: 1 || __main__
2022-02-19 19:05:32,919 || WARNING || Thread 2: No heartbeat recieved in 10 seconds. Heartbeats missed: 2 || __main__
2022-02-19 19:05:42,933 || WARNING || Thread 2: No heartbeat recieved in 10 seconds. Heartbeats missed: 3 || __main__
2022-02-19 19:05:42,933 || ERROR || Thread 2: Missed 3 heartbeats from client. Terminating connection || __main__
2022-02-19 19:05:52,868 || INFO || Thread 1: TCP Server is Listening on 127.0.0.1:12345 || __main__
2022-02-19 19:06:00,051 || INFO || Thread 1: Accepted connection from 127.0.0.1:64656 || __main__
2022-02-19 19:06:00,052 || INFO || Thread 1: Received client data: 'CLIENT_DATA_MESSAGE'. Sent Server Data: 'b'SERVER_DATA_REPLY'' || __main__
2022-02-19 19:06:20,052 || ERROR || Thread 1: No client message detected in 20 seconds. Initiating Heartbeat Server || __main__
2022-02-19 19:06:20,053 || INFO || Thread 2: TCP Server is Listening for Heartbeat on 127.0.0.1:12345 || __main__
2022-02-19 19:06:25,066 || INFO || Thread 2: Accepted connection from 127.0.0.1:64657 || __main__
2022-02-19 19:06:58,201 || INFO || Thread 1: TCP Server is Listening on 127.0.0.1:12345 || __main__
2022-02-19 19:07:05,388 || INFO || Thread 1: Accepted connection from 127.0.0.1:64658 || __main__
2022-02-19 19:07:05,388 || INFO || Thread 1: Received client data: 'CLIENT_DATA_MESSAGE'. Sent Server Data: 'b'SERVER_DATA_REPLY'' || __main__
2022-02-19 19:07:25,395 || ERROR || Thread 1: No client message detected in 20 seconds. Initiating Heartbeat Server || __main__
2022-02-19 19:07:25,396 || INFO || Thread 2: TCP Server is Listening for Heartbeat on 127.0.0.1:12345 || __main__
2022-02-19 19:07:25,396 || INFO || Thread 2: Accepted connection from 127.0.0.1:64659 || __main__
2022-02-19 19:21:30,585 || INFO || Thread 1: TCP Server is Listening on 192.168.0.50:12345 || __main__
2022-02-19 19:23:00,786 || INFO || Thread 1: TCP Server is Listening on 192.168.0.50:12345 || __main__
2022-02-19 19:24:47,210 || INFO || Thread 1: TCP Server is Listening on 192.168.0.50:12345 || __main__
2022-02-19 19:25:53,372 || INFO || Thread 1: TCP Server is Listening on 192.168.0.50:12345 || __main__
2022-02-19 19:25:57,379 || INFO || Thread 1: Accepted connection from 192.168.0.95:33932 || __main__
2022-02-19 19:25:57,380 || INFO || Thread 1: Received client data: 'CLIENT_DATA_MESSAGE'. Sent Server Data: 'b'SERVER_DATA_REPLY'' || __main__
2022-02-19 19:28:00,883 || INFO || Thread 1: TCP Server is Listening on 192.168.0.50:12345 || __main__
2022-02-19 19:29:40,634 || INFO || Thread 1: TCP Server is Listening on 192.168.0.50:12345 || __main__
2022-02-19 19:29:47,842 || INFO || Thread 1: Accepted connection from 192.168.0.95:33938 || __main__
2022-02-19 19:29:47,844 || INFO || Thread 1: Received client data: 'CLIENT_DATA_MESSAGE'. Sent Server Data: 'b'SERVER_DATA_REPLY'' || __main__
2022-02-19 19:30:07,845 || ERROR || Thread 1: No client message detected in 20 seconds. Initiating Heartbeat Server || __main__
2022-02-19 19:30:07,845 || INFO || Thread 2: TCP Server is Listening for Heartbeat on 192.168.0.50:12345 || __main__
2022-02-19 19:41:50,742 || INFO || Thread 1: TCP Server is Listening on 192.168.0.50:12345 || __main__
2022-02-19 19:42:03,333 || INFO || Thread 1: Accepted connection from 192.168.0.95:33940 || __main__
2022-02-19 19:42:03,333 || INFO || Thread 1: Received client data: 'CLIENT_DATA_MESSAGE'. Sent Server Data: 'b'SERVER_DATA_REPLY'' || __main__
2022-02-19 19:42:23,334 || ERROR || Thread 1: No client message detected in 20 seconds. Initiating Heartbeat Server || __main__
2022-02-19 19:42:23,335 || INFO || Thread 2: TCP Server is Listening for Heartbeat on 192.168.0.50:12345 || __main__
2022-02-19 19:52:05,684 || INFO || Thread 1: TCP Server is Listening on 192.168.0.50:12345 || __main__
2022-02-19 19:52:14,450 || INFO || Thread 1: Accepted connection from 192.168.0.95:33944 || __main__
2022-02-19 19:52:14,451 || INFO || Thread 1: Received client data: 'CLIENT_DATA_MESSAGE'. Sent Server Data: 'b'SERVER_DATA_REPLY'' || __main__
2022-02-19 19:52:34,453 || ERROR || Thread 1: No client message detected in 20 seconds. Initiating Heartbeat Server || __main__
2022-02-19 19:52:34,453 || INFO || Thread 2: TCP Server is Listening for Heartbeat on 192.168.0.50:12345 || __main__
2022-02-19 19:53:53,274 || INFO || Thread 1: TCP Server is Listening on 192.168.0.50:12345 || __main__
2022-02-19 19:54:00,021 || INFO || Thread 1: Accepted connection from 192.168.0.95:33946 || __main__
2022-02-19 19:54:00,022 || INFO || Thread 1: Received client data: 'CLIENT_DATA_MESSAGE'. Sent Server Data: 'b'SERVER_DATA_REPLY'' || __main__
2022-02-19 19:54:20,023 || ERROR || Thread 1: No client message detected in 20 seconds. Initiating Heartbeat Server || __main__
2022-02-19 19:54:20,023 || INFO || Thread 2: TCP Server is Listening for Heartbeat on 192.168.0.50:12345 || __main__
2022-02-19 19:55:46,464 || INFO || Thread 1: TCP Server is Listening on 192.168.0.50:12345 || __main__
2022-02-19 19:55:55,207 || INFO || Thread 1: Accepted connection from 192.168.0.95:33948 || __main__
2022-02-19 19:55:55,208 || INFO || Thread 1: Received client data: 'CLIENT_DATA_MESSAGE'. Sent Server Data: 'b'SERVER_DATA_REPLY'' || __main__
2022-02-19 19:56:15,209 || ERROR || Thread 1: No client message detected in 20 seconds. Initiating Heartbeat Server || __main__
2022-02-19 19:56:15,210 || INFO || Thread 2: TCP Server is Listening for Heartbeat on 192.168.0.50:12345 || __main__
2022-02-19 20:01:04,600 || INFO || Thread 1: TCP Server is Listening on 127.0.0.1:12345 || __main__
2022-02-19 20:01:14,664 || INFO || Thread 1: Accepted connection from 127.0.0.1:64283 || __main__
2022-02-19 20:01:14,665 || INFO || Thread 1: Received client data: 'CLIENT_DATA_MESSAGE'. Sent Server Data: 'b'SERVER_DATA_REPLY'' || __main__
2022-02-19 20:01:34,666 || ERROR || Thread 1: No client message detected in 20 seconds. Initiating Heartbeat Server || __main__
2022-02-19 20:01:34,667 || INFO || Thread 2: TCP Server is Listening for Heartbeat on 127.0.0.1:12345 || __main__
2022-02-19 20:01:34,667 || INFO || Thread 2: Accepted connection from 127.0.0.1:64284 || __main__
2022-02-19 20:02:29,508 || INFO || Thread 1: TCP Server is Listening on 192.168.0.50:12345 || __main__
2022-02-19 20:02:39,380 || INFO || Thread 1: Accepted connection from 192.168.0.95:33950 || __main__
2022-02-19 20:02:39,381 || INFO || Thread 1: Received client data: 'CLIENT_DATA_MESSAGE'. Sent Server Data: 'b'SERVER_DATA_REPLY'' || __main__
2022-02-19 20:02:59,382 || ERROR || Thread 1: No client message detected in 20 seconds. Initiating Heartbeat Server || __main__
2022-02-19 20:02:59,382 || INFO || Thread 2: TCP Server is Listening for Heartbeat on 192.168.0.50:12345 || __main__
2022-02-19 20:03:36,143 || INFO || Thread 1: TCP Server is Listening on 192.168.0.50:12345 || __main__
2022-02-19 20:03:43,018 || INFO || Thread 1: Accepted connection from 192.168.0.95:33952 || __main__
2022-02-19 20:03:43,019 || INFO || Thread 1: Received client data: 'CLIENT_DATA_MESSAGE'. Sent Server Data: 'b'SERVER_DATA_REPLY'' || __main__
2022-02-19 20:04:01,072 || WARNING || Thread 1: No client message detected in 20 seconds. Initiating Heartbeat Server || __main__
2022-02-19 20:04:01,073 || INFO || Thread 2: TCP Server is Listening for Heartbeat on 192.168.0.50:12345 || __main__
2022-02-19 20:04:06,073 || INFO || Thread 2: Accepted connection from 192.168.0.95:33954 || __main__
2022-02-19 20:04:46,298 || INFO || Thread 1: TCP Server is Listening on 192.168.0.50:12345 || __main__
2022-02-19 20:04:53,634 || INFO || Thread 1: Accepted connection from 192.168.0.95:33956 || __main__
2022-02-19 20:04:53,636 || INFO || Thread 1: Received client data: 'CLIENT_DATA_MESSAGE'. Sent Server Data: 'b'SERVER_DATA_REPLY'' || __main__
2022-02-19 20:05:13,637 || ERROR || Thread 1: No client message detected in 20 seconds. Initiating Heartbeat Server || __main__
2022-02-19 20:05:13,638 || INFO || Thread 2: TCP Server is Listening for Heartbeat on 192.168.0.50:12345 || __main__
2022-02-19 20:05:47,103 || INFO || Thread 1: TCP Server is Listening on 192.168.0.50:12345 || __main__
2022-02-19 20:05:54,265 || INFO || Thread 1: Accepted connection from 192.168.0.95:33958 || __main__
2022-02-19 20:05:54,266 || INFO || Thread 1: Received client data: 'CLIENT_DATA_MESSAGE'. Sent Server Data: 'b'SERVER_DATA_REPLY'' || __main__
2022-02-19 20:06:15,267 || ERROR || Thread 1: No client message detected in 20 seconds. Initiating Heartbeat Server || __main__
2022-02-19 20:06:15,268 || INFO || Thread 2: TCP Server is Listening for Heartbeat on 192.168.0.50:12345 || __main__
2022-02-19 20:06:19,292 || INFO || Thread 2: Accepted connection from 192.168.0.95:33960 || __main__
2022-02-19 20:08:02,975 || INFO || Thread 1: TCP Server is Listening on 192.168.0.50:12345 || __main__
2022-02-19 20:08:13,165 || INFO || Thread 1: Accepted connection from 192.168.0.95:33962 || __main__
2022-02-19 20:08:13,166 || INFO || Thread 1: Received client data: 'CLIENT_DATA_MESSAGE'. Sent Server Data: 'b'SERVER_DATA_REPLY'' || __main__
2022-02-19 20:08:34,167 || ERROR || Thread 1: No client message detected in 20 seconds. Initiating Heartbeat Server || __main__
2022-02-19 20:08:34,168 || INFO || Thread 2: TCP Server is Listening for Heartbeat on 192.168.0.50:12345 || __main__
2022-02-19 20:08:38,192 || INFO || Thread 2: Accepted connection from 192.168.0.95:33964 || __main__
2022-02-19 20:09:30,245 || INFO || Thread 1: TCP Server is Listening on 192.168.0.50:12345 || __main__
2022-02-19 20:09:45,253 || INFO || Thread 1: Accepted connection from 192.168.0.95:33966 || __main__
2022-02-19 20:09:45,258 || INFO || Thread 1: Received client data: 'CLIENT_DATA_MESSAGE'. Sent Server Data: 'b'SERVER_DATA_REPLY'' || __main__
2022-02-19 20:10:06,260 || ERROR || Thread 1: No client message detected in 20 seconds. Initiating Heartbeat Server || __main__
2022-02-19 20:10:06,260 || INFO || Thread 2: TCP Server is Listening for Heartbeat on 192.168.0.50:12345 || __main__
2022-02-19 20:10:10,288 || INFO || Thread 2: Accepted connection from 192.168.0.95:33968 || __main__
2022-02-19 20:11:53,084 || INFO || Thread 1: TCP Server is Listening on 192.168.0.50:12345 || __main__
2022-02-19 20:12:00,345 || INFO || Thread 1: Accepted connection from 192.168.0.95:33970 || __main__
2022-02-19 20:12:00,346 || INFO || Thread 1: Received client data: 'CLIENT_DATA_MESSAGE'. Sent Server Data: 'b'SERVER_DATA_REPLY'' || __main__
2022-02-19 20:12:21,348 || ERROR || Thread 1: No client message detected in 20 seconds. Initiating Heartbeat Server || __main__
2022-02-19 20:12:21,349 || INFO || Thread 2: TCP Server is Listening for Heartbeat on 192.168.0.50:12345 || __main__
2022-02-19 20:12:25,386 || INFO || Thread 2: Accepted connection from 192.168.0.95:33972 || __main__
2022-02-19 20:12:25,387 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
2022-02-19 20:12:30,393 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
2022-02-19 20:12:35,400 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
2022-02-19 20:12:40,404 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
2022-02-19 20:12:45,420 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
2022-02-19 20:12:50,424 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
2022-02-19 20:12:55,434 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
2022-02-19 20:13:00,452 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
2022-02-19 20:13:05,461 || INFO || Thread 2: Received Heartbeat from Client: 'MSG_HEARTBEAT'. Echoing MSG_HEARTBEAT back to client || __main__
